@relation activity_recognition_labeled

@attribute "UNIQUE_ID" numeric
@attribute "user" {"33" , "17", "29", "13" , "20" , "27" , "6" , "15" , "32" , "36" , "18" , "35" , "11" , "16" , "5", "10" , "28" , "26" , "14" , "24" , "12" , "23" , "4" , "30" , "34" , "8" , "31" , "21" , "3" , "22" , "1" , "25" , "9" , "2" , "7" , "19"} 
@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "X5" numeric
@attribute "X6" numeric
@attribute "X7" numeric
@attribute "X8" numeric
@attribute "X9" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Y5" numeric
@attribute "Y6" numeric
@attribute "Y7" numeric
@attribute "Y8" numeric
@attribute "Y9" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "Z5" numeric
@attribute "Z6" numeric
@attribute "Z7" numeric
@attribute "Z8" numeric
@attribute "Z9" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XPEAK" numeric
@attribute "YPEAK" numeric
@attribute "ZPEAK" numeric
@attribute "XABSOLDEV" numeric
@attribute "YABSOLDEV" numeric
@attribute "ZABSOLDEV" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{ "Walking" , "Jogging" , "Upstairs" , "Downstairs" , "Sitting" , "Standing" }

@data
11,33,0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,0,7.93,2.69,175,875,175,1.64,2.77,2.39,2.6,3.6,2.6,9.52,Downstairs
12,33,0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,0,8.99,2.04,1200,1520,1460,1.62,3.03,1.49,1.98,3.74,1.98,9.62,Downstairs
13,33,0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,0,9.16,2.2,2016.67,3875,2700,1.79,2.98,1.58,2.24,3.7,2.24,9.89,Downstairs
14,33,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.38,0.08,?,?,?,0.07,0.36,0.07,1.97,9.96,1.97,0.4,Downstairs
15,33,0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,0,8.83,2.38,1550,3325,3900,1.59,2.71,1.5,2.05,3.4,2.05,9.69,Upstairs
16,33,0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,0,8.57,2.39,3675,1850,3525,2.14,2.93,1.71,2.78,3.62,2.78,9.75,Upstairs
17,33,0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,0,5.7,1.54,1350,1066.67,1833.33,1.44,2.63,0.93,2.75,4.86,2.75,6.42,Upstairs
18,33,0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,0,9.18,2.32,562.5,1566.67,1562.5,1.45,3.03,1.61,1.82,3.82,1.82,9.84,Downstairs
19,33,0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,0,9.17,2.3,2000,1300,4075,1.69,3.14,1.81,2.11,3.84,2.11,9.9,Downstairs
20,33,0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,0,5.33,1.25,1925,1633.33,2175,1.14,2.39,1.05,2.33,4.96,2.33,5.78,Downstairs
21,33,0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,0,9.02,2.23,2500,1031.25,1640,1.21,2.77,1.39,1.55,3.36,1.55,9.67,Upstairs
22,33,0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,0,8.88,2.41,1216.67,1233.33,3450,1.5,2.96,1.68,2.03,3.73,2.03,9.84,Upstairs
23,33,0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,0,6.15,1.97,733.33,1850,1916.67,2,2.51,1.25,3.42,4.28,3.42,7.23,Upstairs
24,33,0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,0,9,2.58,1300,850,2075,1.66,3.27,1.76,2.13,3.95,2.13,9.79,Downstairs
25,33,0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,0,9.15,2.58,3066.67,691.67,1660,1.86,3.28,2.03,2.41,4.09,2.41,10.05,Downstairs
26,33,0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0,6.74,1.74,1725,1108.33,1500,1.3,2.58,1.51,2.21,4.59,2.21,7.37,Downstairs
27,33,0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,0,9.08,2.42,2925,543.75,1475,1.66,3.09,1.7,2.19,3.78,2.19,9.97,Upstairs
28,33,0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,0,8.65,2.59,1675,3650,1100,1.79,3.23,1.94,2.32,3.9,2.32,9.8,Upstairs
29,33,0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,0,5.7,1.69,800,600,1450,1.22,2.56,1,2.58,5.04,2.58,6.37,Upstairs
30,33,0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,0,8.93,2.42,1675,1533.33,1387.5,1.67,3.2,1.88,2.27,4.05,2.27,9.74,Downstairs
31,33,0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,0,8.67,2.03,2266.67,942.86,1283.33,1.52,3.31,2.03,1.94,4.15,1.94,9.45,Downstairs
32,33,0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,0,5,1.33,425,808.33,600,0.91,2.6,1.18,2.23,6.15,2.23,5.43,Downstairs
33,33,0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,0,8.94,1.69,1575,315.52,3075,4.57,6.5,3.94,5.65,7.69,5.65,12.85,Jogging
34,33,0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,0,10.02,1.52,1633.33,275.71,2700,5.7,6.37,3.73,6.82,7.58,6.82,13.93,Jogging
35,33,0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,0,6.97,1.42,1775,291.3,1875,4.23,5.49,3.18,6.55,8.2,6.55,10.61,Jogging
36,33,0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,0,9.59,0.21,2533.33,861.11,1600,2.55,4.17,2.27,3.04,5.02,3.04,10.68,Walking
37,33,0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,0,9.64,0.21,3300,1131.25,1650,2.64,3.86,2.41,3.12,4.69,3.12,10.86,Walking
38,33,0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,0,8.49,0.53,1337.5,655.56,1320,2.29,3.78,2.28,3.09,4.96,3.09,9.67,Walking
39,33,0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,0,9.7,0.69,1800,236.49,1600,4.6,6.35,3.72,5.88,7.73,5.88,13.26,Jogging
40,33,0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,0,10.48,0.76,2975,221.43,1700,6.06,6.6,3.33,7.15,7.8,7.15,14.48,Jogging
41,33,0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,0,10.04,0.72,1750,242.5,1683.33,6.24,6.73,3.36,7.32,7.9,7.32,14.28,Jogging
42,33,0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,0,9.41,0.22,1350,287.88,4000,6.65,7.05,4.12,7.66,8.49,7.66,14.63,Jogging
43,33,0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,0,10.18,0.96,2950,278.57,2075,6.03,6.45,3.43,7.3,7.63,7.3,14.18,Jogging
44,33,0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,0,9.47,0.91,1616.67,310.34,4250,6.05,6.71,3.18,7.32,7.96,7.32,13.71,Jogging
45,33,0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,0,10.45,0.68,2262.5,276.47,4225,6.54,6.46,3.44,7.87,7.85,7.87,14.85,Jogging
46,33,0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,0,9.04,0.95,900,346.43,4425,6.44,6.81,3.29,7.59,7.93,7.59,13.68,Jogging
47,33,0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,0,9.81,0.44,875,326.09,1187.5,5.29,5.65,3.09,6.91,7.54,6.91,13.49,Jogging
48,17,0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0,9.92,-0.06,1100,1000,1500,2.04,2.4,1.6,2.8,3.2,2.8,10.53,Walking
49,17,0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0,9.71,-0.06,2183.33,2012.5,2516.67,2.98,2.82,1.74,3.51,3.35,3.51,10.55,Walking
50,17,0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0,9.69,-0.28,2325,1462.5,725,2.96,2.94,1.82,3.58,3.52,3.58,10.61,Walking
